grip_x,grip_y,grip_z,obj_x,obj_y,obj_z,cam_x,cam_y,distance,grasp_angle,grasp_width
3.1912944,2.106573e-06,0.6114855,3.4814603,0.47345352,0.18258604,-0.5034538507461548,0.32802149653434753,0.8762022852897644,67.91554005907676,0.06637006788175696
3.1912944,2.106573e-06,0.6114855,3.4819157,0.473181,0.18100834,-0.5031813383102417,0.32916027307510376,0.87733393907547,67.91554005907676,0.06637006788175696
3.1912944,2.106573e-06,0.6114855,3.482371,0.4729085,0.17943063,-0.5029088258743286,0.3302990198135376,0.878467321395874,67.91554005907676,0.06637006788175696
3.1912944,2.106573e-06,0.6114855,3.4828265,0.47263598,0.17785293,-0.5026363134384155,0.33143773674964905,0.8796023726463318,67.91554005907676,0.06637006788175696
3.1912944,2.106573e-06,0.6114855,3.4832819,0.47236347,0.17627522,-0.5023638010025024,0.3325764238834381,0.8807390332221985,62.734843845334396,0.06657529069358718
3.1912944,2.106573e-06,0.6114855,3.4837372,0.47209096,0.17469752,-0.5020912885665894,0.33371520042419434,0.8818774819374084,58.99179083090554,0.06672356417513453
3.1912944,2.106573e-06,0.6114855,3.4841926,0.47181845,0.17311981,-0.5018187761306763,0.3348539471626282,0.8830175995826721,56.28743502798069,0.06683069176555248
3.1912944,2.106573e-06,0.6114855,3.484648,0.47154593,0.17154211,-0.5015462636947632,0.3359926640987396,0.8841593265533447,54.33353796036749,0.06690809144962946
3.1912944,2.106573e-06,0.6114855,3.4851034,0.47127342,0.1699644,-0.5012737512588501,0.3371313512325287,0.8853026628494263,52.20657457255997,0.06684858683975602
3.1912944,2.106573e-06,0.6114855,3.4855587,0.4710009,0.1683867,-0.5010012984275818,0.3382701277732849,0.8864477872848511,50.669843524869044,0.06680559475912246
3.1912944,2.106573e-06,0.6114855,3.4860141,0.4707284,0.166809,-0.5007287859916687,0.33940887451171875,0.8875945210456848,49.55955534291235,0.0667745329808647
3.1912944,2.106573e-06,0.6114855,3.4864695,0.47045588,0.16523129,-0.5004562735557556,0.3405475914478302,0.8887428045272827,48.757372131448626,0.06675209084607349
3.1912944,2.106573e-06,0.6114855,3.486925,0.47018337,0.16365358,-0.5001837611198425,0.34168630838394165,0.8898927569389343,39.49993234998661,0.06504769321222173
3.1912944,2.106573e-06,0.6114855,3.4873803,0.46991086,0.16207588,-0.49991127848625183,0.3428250551223755,0.8910444378852844,32.81143210788029,0.06381626592176384
3.1912944,2.106573e-06,0.6114855,3.4878356,0.46963835,0.16049817,-0.49963876605033875,0.3439638018608093,0.8921976685523987,27.978990682958486,0.06292655970440801
3.1912944,2.106573e-06,0.6114855,3.488291,0.46936584,0.15892047,-0.49936625361442566,0.3451025187969208,0.8933524489402771,24.48755175345248,0.06228374696236842
3.1912944,2.106573e-06,0.6114855,3.4887464,0.46909332,0.15734276,-0.49909377098083496,0.3462412357330322,0.8945088982582092,29.167686404059374,0.0631632175435422
3.1912944,2.106573e-06,0.6114855,3.4892018,0.4688208,0.15576506,-0.4988212585449219,0.34737998247146606,0.8956669569015503,32.54908368912285,0.06379863503844026
3.1912944,2.106573e-06,0.6114855,3.4896572,0.4685483,0.15418735,-0.4985487461090088,0.3485187292098999,0.8968265652656555,34.992143227581224,0.0642577241785041
3.1912944,2.106573e-06,0.6114855,3.4901125,0.4682758,0.15260965,-0.4982762336730957,0.34965744614601135,0.8979877233505249,36.75725374411739,0.06458941608220023
3.1912944,2.106573e-06,0.6114855,3.490568,0.46800327,0.15103194,-0.4980037212371826,0.3507961630821228,0.899150550365448,47.626055506827065,0.0648052847327652
3.1912944,2.106573e-06,0.6114855,3.4910233,0.46773076,0.14945424,-0.4977312386035919,0.35193490982055664,0.9003149271011353,55.4787647803848,0.0649612498327984
3.1912944,2.106573e-06,0.6114855,3.4914787,0.46745825,0.14787653,-0.49745872616767883,0.3530736565589905,0.9014809131622314,61.15234723053027,0.06507393461757238
3.1912944,2.106573e-06,0.6114855,3.491934,0.46718574,0.14629883,-0.49718621373176575,0.35421237349510193,0.902648389339447,65.25151055076037,0.06515534937457158
3.1912944,2.106573e-06,0.6114855,3.4923894,0.46691322,0.14472112,-0.49691370129585266,0.3553510904312134,0.9038174748420715,61.3329144298338,0.06597671380113786
3.1924634,0.0010656458,0.60885376,3.4928448,0.4666407,0.14314342,-0.4938177466392517,0.34628140926361084,0.9021314978599548,58.50172873246434,0.066570149599332
3.1972115,0.0060979477,0.6009445,3.4933002,0.4663682,0.14156571,-0.4807325601577759,0.31895360350608826,0.8933157324790955,56.45619706611492,0.06699890696352725
3.2045178,0.012121648,0.5897716,3.4937556,0.4660957,0.139988,-0.4658576548099518,0.28536978363990784,0.8800775408744812,54.97830043717745,0.06730868415915833
3.2136607,0.01864459,0.57556415,3.494211,0.46582317,0.1384103,-0.4508754014968872,0.2467716634273529,0.8628978133201599,56.85115346176201,0.06720447884021236
3.2239933,0.025755636,0.5586823,3.4946663,0.46555066,0.1368326,-0.43578600883483887,0.2045024037361145,0.842160165309906,58.204289772024346,0.06712919049727388
3.234818,0.033467233,0.53943384,3.4951217,0.46527815,0.13525489,-0.420570969581604,0.15992286801338196,0.8182960152626038,59.18193075618888,0.06707479466950082
3.2449698,0.04166107,0.51791596,3.495577,0.46500564,0.13367718,-0.40515896677970886,0.11414214968681335,0.7918837070465088,59.88827636724776,0.0670354936839348
3.2538688,0.050204366,0.49403977,3.496032,0.46473312,0.13209948,-0.3895171284675598,0.06675305962562561,0.7629460692405701,59.88827636724776,0.0670354936839348
